id,empty_cells,recursive_calls,backtracks,candidate_checks,successful_assignments,failed_assignments,maximum_depth,execution_time_ms,solved
1,40,140,99,1080,139,99,41,0.000,1
2,42,121,78,911,120,78,43,0.000,1
3,39,49,9,282,48,9,40,0.000,1
4,41,90,48,634,89,48,42,0.000,1
5,37,130,92,1022,129,92,38,0.000,1
6,42,111,68,821,110,68,43,0.000,1
7,36,92,55,682,91,55,37,0.000,1
8,38,42,3,225,41,3,39,0.000,1
9,43,193,149,1581,192,149,44,0.000,1
10,36,38,1,203,37,1,37,1.000,1
11,40,45,4,231,44,4,41,0.000,1
12,39,99,59,717,98,59,40,1.000,1
13,44,445,400,3799,444,400,45,1.000,1
14,37,71,33,497,70,33,38,0.000,1
15,37,46,8,262,45,8,38,1.000,1
16,44,64,19,375,63,19,45,0.000,1
17,37,39,1,197,38,1,38,0.000,1
18,42,82,39,565,81,39,43,0.000,1
19,35,52,16,331,51,16,36,0.000,1
20,41,72,30,474,71,30,42,0.000,1
21,37,183,145,1506,182,145,38,0.000,1
22,38,125,86,955,124,86,39,0.000,1
23,40,52,11,324,51,11,41,1.000,1
24,40,109,68,804,108,68,41,0.000,1
25,46,524,477,4523,523,477,47,0.000,1
26,43,109,65,803,108,65,44,0.000,1
27,45,378,332,3222,377,332,46,0.000,1
28,39,52,12,294,51,12,40,0.000,1
29,38,129,90,988,128,90,39,0.000,1
30,42,212,169,1729,211,169,43,0.000,1
31,45,326,280,2728,325,280,46,0.000,1
32,39,44,4,206,43,4,40,0.000,1
33,36,48,11,267,47,11,37,0.000,1
34,38,67,28,454,66,28,39,0.000,1
35,42,1060,1017,9374,1059,1017,43,1.000,1
36,38,47,8,263,46,8,39,0.000,1
37,42,46,3,234,45,3,43,0.000,1
38,38,46,7,259,45,7,39,0.000,1
39,42,95,52,681,94,52,43,0.000,1
40,43,225,181,1850,224,181,44,0.000,1
41,42,75,32,498,74,32,43,0.000,1
42,37,94,56,691,93,56,38,0.000,1
43,41,198,156,1604,197,156,42,1.000,1
44,44,135,90,1049,134,90,45,0.000,1
45,39,45,5,221,44,5,40,0.000,1
46,39,48,8,261,47,8,40,0.000,1
47,42,849,806,7453,848,806,43,0.000,1
48,41,56,14,346,55,14,42,0.000,1
49,44,133,88,1015,132,88,45,0.000,1
50,41,132,90,1007,131,90,42,1.000,1
51,47,643,595,5592,642,595,48,1.000,1
52,40,90,49,653,89,49,41,0.000,1
53,37,50,12,286,49,12,38,0.000,1
54,43,83,39,567,82,39,44,0.000,1
55,44,58,13,337,57,13,45,0.000,1
56,39,61,21,355,60,21,40,0.000,1
57,42,447,404,3856,446,404,43,0.000,1
58,45,795,749,6973,794,749,46,1.000,1
59,45,123,77,909,122,77,46,1.000,1
60,44,302,257,2530,301,257,45,0.000,1
61,40,45,4,262,44,4,41,0.000,1
62,37,42,4,227,41,4,38,0.000,1
63,44,79,34,528,78,34,45,0.000,1
64,36,51,14,299,50,14,37,0.000,1
65,44,73,28,487,72,28,45,0.000,1
66,42,64,21,405,63,21,43,0.000,1
67,39,324,284,2762,323,284,40,0.000,1
68,44,104,59,737,103,59,45,0.000,1
69,43,197,153,1584,196,153,44,0.000,1
70,36,115,78,874,114,78,37,0.000,1
71,41,55,13,330,54,13,42,0.000,1
72,37,47,9,261,46,9,38,0.000,1
73,46,201,154,1627,200,154,47,0.000,1
74,39,149,109,1170,148,109,40,0.000,1
75,40,104,63,752,103,63,41,0.000,1
76,44,263,218,2178,262,218,45,0.000,1
77,46,245,198,2008,244,198,47,0.000,1
78,37,79,41,540,78,41,38,0.000,1
79,43,529,485,4589,528,485,44,1.000,1
80,39,94,54,669,93,54,40,0.000,1
81,38,66,27,426,65,27,39,0.000,1
82,39,85,45,604,84,45,40,1.000,1
83,40,125,84,954,124,84,41,0.000,1
84,42,118,75,886,117,75,43,0.000,1
85,41,51,9,305,50,9,42,0.000,1
86,38,48,9,268,47,9,39,0.000,1
87,45,290,244,2409,289,244,46,1.000,1
88,41,71,29,462,70,29,42,0.000,1
89,43,166,122,1308,165,122,44,0.000,1
90,37,117,79,894,116,79,38,0.000,1
91,36,59,22,366,58,22,37,0.000,1
92,40,188,147,1519,187,147,41,1.000,1
93,42,56,13,309,55,13,43,0.000,1
94,37,75,37,507,74,37,38,0.000,1
95,45,1083,1037,9551,1082,1037,46,1.000,1
96,40,113,72,836,112,72,41,0.000,1
97,39,46,6,235,45,6,40,0.000,1
98,38,45,6,254,44,6,39,0.000,1
99,35,41,5,218,40,5,36,0.000,1
100,43,212,168,1732,211,168,44,0.000,1
101,46,110,63,806,109,63,47,0.000,1
102,38,523,484,4566,522,484,39,1.000,1
103,45,95,49,666,94,49,46,0.000,1
104,37,38,0,190,37,0,38,0.000,1
105,41,58,16,330,57,16,42,0.000,1
106,40,45,4,227,44,4,41,0.000,1
107,37,69,31,445,68,31,38,0.000,1
108,37,94,56,685,93,56,38,1.000,1
109,44,72,27,462,71,27,45,0.000,1
110,39,90,50,648,89,50,40,0.000,1
111,44,3718,3673,33292,3717,3673,45,19.000,1
112,41,93,51,647,92,51,42,0.000,1
113,44,148,103,1152,147,103,45,0.000,1
114,42,77,34,519,76,34,43,0.000,1
115,39,46,6,250,45,6,40,0.000,1
116,39,75,35,510,74,35,40,0.000,1
117,38,48,9,273,47,9,39,0.000,1
118,42,172,129,1375,171,129,43,1.000,1
119,39,68,28,436,67,28,40,0.000,1
120,37,65,27,405,64,27,38,1.000,1
121,40,174,133,1395,173,133,41,1.000,1
122,40,95,54,698,94,54,41,0.000,1
123,41,393,351,3367,392,351,42,1.000,1
124,41,77,35,524,76,35,42,0.000,1
125,40,134,93,1019,133,93,41,0.000,1
126,47,7221,7173,64791,7220,7173,48,9.000,1
127,40,118,77,898,117,77,41,0.000,1
128,38,74,35,498,73,35,39,0.000,1
129,35,88,52,625,87,52,36,0.000,1
130,42,142,99,1117,141,99,43,0.000,1
131,38,42,3,232,41,3,39,0.000,1
132,42,62,19,374,61,19,43,0.000,1
133,43,87,43,612,86,43,44,0.000,1
134,37,49,11,281,48,11,38,0.000,1
135,38,84,45,607,83,45,39,1.000,1
136,42,157,114,1223,156,114,43,0.000,1
137,37,39,1,189,38,1,38,0.000,1
138,43,166,122,1322,165,122,44,0.000,1
139,40,173,132,1392,172,132,41,0.000,1
140,38,101,62,736,100,62,39,0.000,1
141,40,46,5,246,45,5,41,0.000,1
142,38,87,48,633,86,48,39,0.000,1
143,39,49,9,294,48,9,40,0.000,1
144,35,40,4,216,39,4,36,0.000,1
145,44,74,29,480,73,29,45,0.000,1
146,45,100,54,717,99,54,46,0.000,1
147,37,63,25,410,62,25,38,0.000,1
148,44,167,122,1312,166,122,45,0.000,1
149,38,137,98,1082,136,98,39,1.000,1
150,44,710,665,6204,709,665,45,1.000,1
151,40,238,197,1962,237,197,41,0.000,1
152,39,77,37,514,76,37,40,0.000,1
153,40,46,5,226,45,5,41,0.000,1
154,41,124,82,931,123,82,42,0.000,1
155,42,159,116,1249,158,116,43,0.000,1
156,44,379,334,3215,378,334,45,0.000,1
157,39,50,10,302,49,10,40,0.000,1
158,43,478,434,4125,477,434,44,1.000,1
159,38,304,265,2578,303,265,39,0.000,1
160,39,57,17,348,56,17,40,0.000,1
161,39,52,12,316,51,12,40,0.000,1
162,41,319,277,2675,318,277,42,0.000,1
163,39,45,5,223,44,5,40,0.000,1
164,31,45,13,263,44,13,32,0.000,1
165,43,573,529,4974,572,529,44,1.000,1
166,42,399,356,3414,398,356,43,0.000,1
167,42,48,5,253,47,5,43,0.000,1
168,35,40,4,192,39,4,36,0.000,1
169,43,111,67,832,110,67,44,0.000,1
170,46,616,569,5353,615,569,47,0.000,1
171,40,57,16,336,56,16,41,0.000,1
172,39,51,11,302,50,11,40,1.000,1
173,38,43,4,220,42,4,39,0.000,1
174,38,60,21,397,59,21,39,0.000,1
175,46,504,457,4323,503,457,47,1.000,1
176,41,91,49,642,90,49,42,0.000,1
177,40,73,32,473,72,32,41,0.000,1
178,40,59,18,363,58,18,41,0.000,1
179,37,52,14,316,51,14,38,0.000,1
180,40,70,29,453,69,29,41,1.000,1
181,40,59,18,353,58,18,41,0.000,1
182,39,67,27,432,66,27,40,0.000,1
183,43,53,9,303,52,9,44,0.000,1
184,39,47,7,265,46,7,40,0.000,1
185,40,134,93,1039,133,93,41,1.000,1
186,39,61,21,372,60,21,40,0.000,1
187,44,280,235,2333,279,235,45,0.000,1
188,46,544,497,4713,543,497,47,1.000,1
189,36,38,1,188,37,1,37,0.000,1
190,40,45,4,219,44,4,41,0.000,1
191,43,56,12,324,55,12,44,0.000,1
192,42,59,16,359,58,16,43,0.000,1
193,45,76,30,508,75,30,46,0.000,1
194,36,41,4,210,40,4,37,0.000,1
195,34,39,4,215,38,4,35,0.000,1
196,43,51,7,275,50,7,44,0.000,1
197,39,123,83,933,122,83,40,0.000,1
198,36,40,3,194,39,3,37,0.000,1
199,45,91,45,641,90,45,46,0.000,1
200,37,98,60,729,97,60,38,0.000,1
201,38,49,10,279,48,10,39,0.000,1
202,39,206,166,1700,205,166,40,1.000,1
203,42,147,104,1161,146,104,43,0.000,1
204,42,236,193,1955,235,193,43,0.000,1
205,41,67,25,435,66,25,42,1.000,1
206,41,129,87,999,128,87,42,0.000,1
207,40,79,38,544,78,38,41,0.000,1
208,41,543,501,4713,542,501,42,1.000,1
209,43,792,748,6937,791,748,44,0.000,1
210,39,104,64,773,103,64,40,0.000,1
211,33,35,1,163,34,1,34,0.000,1
212,41,70,28,463,69,28,42,0.000,1
213,38,45,6,238,44,6,39,0.000,1
214,36,43,6,231,42,6,37,0.000,1
215,39,69,29,467,68,29,40,0.000,1
216,43,131,87,987,130,87,44,0.000,1
217,40,149,108,1161,148,108,41,0.000,1
218,39,73,33,492,72,33,40,0.000,1
219,37,224,186,1864,223,186,38,1.000,1
220,39,78,38,544,77,38,40,0.000,1
221,42,67,24,432,66,24,43,0.000,1
222,39,50,10,274,49,10,40,0.000,1
223,43,47,3,240,46,3,44,0.000,1
224,44,453,408,3893,452,408,45,1.000,1
225,38,105,66,808,104,66,39,0.000,1
226,44,253,208,2094,252,208,45,0.000,1
227,46,122,75,920,121,75,47,0.000,1
228,39,269,229,2262,268,229,40,0.000,1
229,38,73,34,479,72,34,39,0.000,1
230,34,35,0,163,34,0,35,0.000,1
231,42,110,67,792,109,67,43,0.000,1
232,39,199,159,1614,198,159,40,0.000,1
233,36,72,35,496,71,35,37,0.000,1
234,44,114,69,841,113,69,45,0.000,1
235,38,40,1,209,39,1,39,0.000,1
236,42,115,72,853,114,72,43,0.000,1
237,44,121,76,900,120,76,45,0.000,1
238,39,63,23,408,62,23,40,0.000,1
239,38,137,98,1047,136,98,39,0.000,1
240,40,51,10,281,50,10,41,0.000,1
241,41,72,30,490,71,30,42,0.000,1
242,43,67,23,424,66,23,44,0.000,1
243,38,46,7,253,45,7,39,0.000,1
244,38,50,11,299,49,11,39,0.000,1
245,41,52,10,305,51,10,42,0.000,1
246,36,57,20,361,56,20,37,0.000,1
247,46,59,12,341,58,12,47,0.000,1
248,42,266,223,2215,265,223,43,0.000,1
249,40,43,2,206,42,2,41,0.000,1
250,46,84,37,566,83,37,47,1.000,1
