puzzle_id,puzzle,source,source_record_id,source_difficulty,sampling_seed
SE0001,070000060604000508050103090008090700000807000001040200010709050407000801080000070,sudoku_exchange,easy:15614,easy,2026
SE0002,020000030360020048008304100000000000850109064012000950209040306000070000043000580,sudoku_exchange,easy:41876,easy,2026
SE0003,000100000019052040004300620030000105060030080805000060058009300070560410000001000,sudoku_exchange,easy:65866,easy,2026
SE0004,040290300009000001500083020004050006302409705100030400060920003900000100005014060,sudoku_exchange,easy:67086,easy,2026
SE0005,500010007003008001802000050045600009000000000900005410080000706100900800400070002,sudoku_exchange,easy:84830,easy,2026
SE0006,090708030671203984000000000502000801800010003013000460009000600306000207000605000,sudoku_exchange,easy:13453,easy,2026
SE0007,000102000600000007008635100000040000106000309009060500010709060050000020760000015,sudoku_exchange,easy:29267,easy,2026
SE0008,020000080040937060009000400000000000090701050051408370013806520000010000785000641,sudoku_exchange,easy:78779,easy,2026
SE0009,000000000004500080035900420410290007072000340500043018047002130020007800000000000,sudoku_exchange,easy:81460,easy,2026
SE0010,000020050043005070026040001200003000807000504000400008900030810070600320060050000,sudoku_exchange,easy:72950,easy,2026
SE0011,001604500003000600700105003000000000400000005007408900000000000080090070015080260,sudoku_exchange,easy:55131,easy,2026
SE0012,010000040002000700603000201006000900000080000005206300300000002000401000908060403,sudoku_exchange,easy:75048,easy,2026
SE0013,004000000670003002008000517000760490000302000081045000415000300300600025000000900,sudoku_exchange,easy:71803,easy,2026
SE0014,010007380090500000038002005009203040400000007070605900500800670000006090086700050,sudoku_exchange,easy:95754,easy,2026
SE0015,086207000912030008050010000060000790000701000074000020000040010100020937000103250,sudoku_exchange,easy:64344,easy,2026
SE0016,060000010300601507051027400097308020003050700010904630006210350109705006020000070,sudoku_exchange,easy:98439,easy,2026
SE0017,750410209091000065400020030000679001602103904800542000030090008980000540104057096,sudoku_exchange,easy:76877,easy,2026
SE0018,005003800040000093300205004058000000000612000000000270100304006830000020004700100,sudoku_exchange,easy:57816,easy,2026
SE0019,070503900050000034200690000500706302002000500703205001000061003980000070005802040,sudoku_exchange,easy:31449,easy,2026
SE0020,340000207020000390009002008900560000006809100000041005400100600065000030103000084,sudoku_exchange,easy:333,easy,2026
SE0021,000070000700008200010209407090034100003000500007690030409105080006900002000080000,sudoku_exchange,easy:80505,easy,2026
SE0022,090000800257840090001009025000960000609501402000032000730200900060094213002000040,sudoku_exchange,easy:10581,easy,2026
SE0023,009736021206000000000040950103000060060000070090000305047020000000000504610954200,sudoku_exchange,easy:14515,easy,2026
SE0024,301000028940080370087050906000906000014000860000708000608090530025060097190000604,sudoku_exchange,easy:37650,easy,2026
SE0025,701904603000000000600857002850000091007000500020000030073000840908000105500010009,sudoku_exchange,easy:12852,easy,2026
SE0026,050000900604500000090020701000100370000040000039006000805060090000007805002000040,sudoku_exchange,medium:235749,medium,2026
SE0027,005000600600000007049208130000189000000706000400030001380000019092000870100000006,sudoku_exchange,medium:6024,medium,2026
SE0028,100504003000810020009700005030020009000000000500070060900001200020067000600208004,sudoku_exchange,medium:257052,medium,2026
SE0029,040010020100000009850000047006924500009080200030105060000000000000306000600090002,sudoku_exchange,medium:164749,medium,2026
SE0030,620000000057642000000009070800000009004803500200000001010400000000186720000000053,sudoku_exchange,medium:110219,medium,2026
SE0031,180740206000809003600100000020000754800000009974000080000002005200608000408037021,sudoku_exchange,medium:208257,medium,2026
SE0032,050000007003600050091040830060970000030000040000084070079050160010009500500000020,sudoku_exchange,medium:131866,medium,2026
SE0033,001300000960540002070000000004090008000401000300060900000000060600015089000002100,sudoku_exchange,medium:182273,medium,2026
SE0034,000030000024000760900000001009060800760000015400901006000503000058090320000604000,sudoku_exchange,medium:186981,medium,2026
SE0035,720000000005600100063000000209004700508010406006500803000000240004003600000000018,sudoku_exchange,medium:197313,medium,2026
SE0036,970010200000730001001052000108000020006000700040000603000260900800071000005090082,sudoku_exchange,medium:269268,medium,2026
SE0037,047020080009300007200000350004000000006401700000000600062000003400009500030060120,sudoku_exchange,medium:334348,medium,2026
SE0038,000000000300060007017000820102000703406701208000603000000040000645000182800050004,sudoku_exchange,medium:40014,medium,2026
SE0039,001000800050302010000907000096050230000000000400030005100000009320000071004671300,sudoku_exchange,medium:178465,medium,2026
SE0040,008000500001000600500070004050602070060304080100807006000908000300040008002103400,sudoku_exchange,medium:47011,medium,2026
SE0041,100920408004000000900015060002090001801502607400070300040280006000000700305069004,sudoku_exchange,medium:292265,medium,2026
SE0042,087010600000705802510006004095000020800000001070000590900100087308207000001050430,sudoku_exchange,medium:282101,medium,2026
SE0043,700908002000070000050100907600000070370080065020000001803006020000090000400302006,sudoku_exchange,medium:153156,medium,2026
SE0044,230050009000901507090800000070209450900000001012403070000006090309107000100090063,sudoku_exchange,medium:150787,medium,2026
SE0045,000503000609000301000104000060040050908000204200000003000206000006000500520010038,sudoku_exchange,medium:239835,medium,2026
SE0046,000000000002564900007231500001000300630108045040020010020000050000403000080010070,sudoku_exchange,medium:73867,medium,2026
SE0047,008000000700020085000107009300005046600090007150800003200703000430050001000000300,sudoku_exchange,medium:338059,medium,2026
SE0048,000500000030008004204700085000400502409000601105009000940005308600800050000006000,sudoku_exchange,medium:302737,medium,2026
SE0049,000070000000206000960000084000090000019000450700000008008902100001507800027104390,sudoku_exchange,medium:162005,medium,2026
SE0050,040109050200000008000748000070403010050000090009000400004080700010502060000304000,sudoku_exchange,medium:12971,medium,2026
SE0051,040200000000017400305048000054800600100000007007005240000560102006490000000002060,sudoku_exchange,hard:193381,hard,2026
SE0052,037000000008032005000800037010309200060000040002607050120003000800170400000000510,sudoku_exchange,hard:190601,hard,2026
SE0053,030000090400000001009000200000060000040000030026359170065070410010695080970010065,sudoku_exchange,hard:241735,hard,2026
SE0054,300060004000701000070402060020000050100000009504000201050070010709000308000090000,sudoku_exchange,hard:221364,hard,2026
SE0055,020701500000030007307000200900070005040308060800020001008000604700080000009207050,sudoku_exchange,hard:47545,hard,2026
SE0056,076001000009080006000004027703050000010903070000010804690400000200030700000200540,sudoku_exchange,hard:209073,hard,2026
SE0057,000904000000010000000275000006729100709000205030000040100000003050060080087090510,sudoku_exchange,hard:307085,hard,2026
SE0058,027003060000000035400010700000500000006402300000006000008070002590000000040300650,sudoku_exchange,hard:290691,hard,2026
SE0059,082009700000008003600320008830000500001000200004000086100087004500900000008600190,sudoku_exchange,hard:261335,hard,2026
SE0060,500017003010642070000500000180000460650020017097000085000006000030281050800350006,sudoku_exchange,hard:61053,hard,2026
SE0061,800307001040002530030006000958000002000000000300000654000200040023600070500701008,sudoku_exchange,hard:223055,hard,2026
SE0062,000000096090080507206000180900100700800906005007003008078000609502060040610000000,sudoku_exchange,hard:265478,hard,2026
SE0063,000390710090000302200006005000040006002907500400050000800500007504000080037021000,sudoku_exchange,hard:314660,hard,2026
SE0064,000240000058090000060300502600050903001070200309060001906001020000030610000029000,sudoku_exchange,hard:257442,hard,2026
SE0065,160000000000400802302700006405008200000020000008300601800005107501004000000000065,sudoku_exchange,hard:208745,hard,2026
SE0066,080962040004000900000807000009010600003204500000090000000000000045106720090528060,sudoku_exchange,hard:275070,hard,2026
SE0067,100090080320500000090082000070000830850976042012000060000860050000009076060050008,sudoku_exchange,hard:135604,hard,2026
SE0068,090000040000174000050803010000902000085000490700000006074000960000060000003719800,sudoku_exchange,hard:220184,hard,2026
SE0069,010642030040000080600000001050138020000407000070000040004809500008000300160000078,sudoku_exchange,hard:295699,hard,2026
SE0070,000050000060103840034708200086000920400000008023000460001807590097305080000010000,sudoku_exchange,hard:251234,hard,2026
SE0071,010070600004001027020040000040000000700293001000000060000020080570900300001080090,sudoku_exchange,hard:268934,hard,2026
