puzzle_id,source,source_record_id,source_difficulty,sampling_seed,clue_count,empty_cells,mean_domain_size,domain_variance,min_domain_size,max_domain_size,singleton_count,singleton_ratio,pair_count,pair_ratio,triple_count,triple_ratio,candidate_domain_entropy,row_clue_variance,column_clue_variance,box_clue_variance,min_row_clues,max_row_clues,min_column_clues,max_column_clues,min_box_clues,max_box_clues,prop_initial_empty,prop_initial_singletons,prop_forced_assignments,prop_rounds,prop_reduction_ratio,prop_residual_empty,prop_initial_mean_domain,prop_final_mean_domain,prop_final_singletons,prop_contradiction,prop_solved,recursive_calls,log_recursive_calls,backtracked_assignments,candidate_checks,backtrack_events,max_depth,solution_depth,solved,solution_valid
SE0001,sudoku_exchange,easy:15614,easy,2026,28,53,3.490566037735849,1.2687789248843009,1,5,3,0.05660377358490566,7,0.1320754716981132,15,0.2830188679245283,1.7040688029165727,0.7654320987654322,0.7654320987654322,0.9876543209876544,2,4,2,4,2,4,53,3,53,15,1.0,0,3.490566037735849,0.0,0,0,1,643,6.467698726104354,589,5549,415,53,53,1,1
SE0002,sudoku_exchange,easy:41876,easy,2026,31,50,3.22,1.5316000000000005,1,6,4,0.08,8,0.16,22,0.44,1.5646740598493145,3.580246913580247,1.1358024691358024,0.691358024691358,0,6,2,5,2,4,50,4,50,15,1.0,0,3.22,0.0,0,0,1,8958,9.100413892597578,8907,80423,6300,50,50,1,1
SE0003,sudoku_exchange,easy:65866,easy,2026,29,52,3.4038461538461537,1.2407544378698216,1,6,2,0.038461538461538464,9,0.17307692307692307,17,0.3269230769230769,1.6750913417707642,1.9506172839506175,1.9506172839506175,0.8395061728395062,1,5,1,5,1,4,52,2,14,5,0.2692307692307692,38,3.4038461538461537,2.6842105263157894,0,0,0,9145,9.121071904218,9092,82102,6186,52,52,1,1
SE0004,sudoku_exchange,easy:67086,easy,2026,32,49,3.122448979591837,0.7197001249479384,1,5,2,0.04081632653061224,8,0.16326530612244897,22,0.4489795918367347,1.575328634913322,1.358024691358025,1.358024691358025,0.2469135802469136,2,6,2,6,3,4,49,2,9,4,0.1836734693877551,40,3.122448979591837,2.675,0,0,0,528,6.270988431858299,478,4562,335,49,49,1,1
SE0005,sudoku_exchange,easy:84830,easy,2026,26,55,3.6,1.3672727272727268,1,6,1,0.01818181818181818,10,0.18181818181818182,14,0.2545454545454545,1.7607584612044715,1.2098765432098761,1.432098765432099,0.54320987654321,0,4,2,5,2,4,55,1,55,14,1.0,0,3.6,0.0,0,0,1,6309,8.749890955535259,6253,56547,4427,55,55,1,1
SE0006,sudoku_exchange,easy:13453,easy,2026,31,50,3.22,1.1316000000000006,1,6,1,0.02,13,0.26,17,0.34,1.6027793097483527,4.246913580246912,1.358024691358025,1.5802469135802473,0,8,1,5,1,5,50,1,1,1,0.02,49,3.22,3.183673469387755,0,0,0,205,5.327876168789581,154,1638,99,50,50,1,1
SE0007,sudoku_exchange,easy:29267,easy,2026,27,54,3.462962962962963,0.8412208504801094,2,5,0,0.0,10,0.18518518518518517,15,0.2777777777777778,1.7352964088915104,1.5555555555555556,0.0,1.1111111111111112,1,5,3,3,2,5,54,0,0,0,0.0,54,3.462962962962963,3.462962962962963,0,0,0,2151,7.674152921281675,2096,19138,1340,54,54,1,1
SE0008,sudoku_exchange,easy:78779,easy,2026,32,49,3.122448979591837,1.2094960433152855,1,5,2,0.04081632653061224,15,0.30612244897959184,13,0.2653061224489796,1.5415526750754942,4.91358024691358,3.1358024691358026,0.691358024691358,0,6,1,6,3,5,49,2,2,1,0.04081632653061224,47,3.122448979591837,3.0425531914893615,0,0,0,7379,8.906528917594517,7329,66207,5086,49,49,1,1
SE0009,sudoku_exchange,easy:81460,easy,2026,30,51,3.7254901960784315,1.3756247597078044,2,6,0,0.0,9,0.17647058823529413,13,0.2549019607843137,1.8204257914950186,3.7777777777777777,1.3333333333333335,1.1111111111111112,0,5,2,5,2,5,51,0,0,0,0.0,51,3.7254901960784315,3.7254901960784315,0,0,0,4707,8.457018468380168,4655,42166,3193,51,51,1,1
SE0010,sudoku_exchange,easy:72950,easy,2026,28,53,3.2830188679245285,1.1840512637949452,1,6,3,0.05660377358490566,7,0.1320754716981132,24,0.4528301886792453,1.6203313053252917,0.9876543209876544,0.54320987654321,0.3209876543209877,2,4,2,4,2,4,53,3,53,19,1.0,0,3.2830188679245285,0.0,0,0,1,752,6.6240652277998935,698,6557,458,53,53,1,1
SE0011,sudoku_exchange,easy:55131,easy,2026,24,57,4.017543859649122,1.8768851954447516,1,7,1,0.017543859649122806,8,0.14035087719298245,10,0.17543859649122806,1.9083921632499743,2.888888888888889,0.6666666666666666,0.4444444444444444,0,5,2,4,2,4,57,1,5,4,0.08771929824561403,52,4.017543859649122,3.6923076923076925,0,0,0,10143,9.224637676677007,10085,91046,7404,57,57,1,1
SE0012,sudoku_exchange,easy:75048,easy,2026,24,57,4.0701754385964914,1.1178824253616502,1,6,1,0.017543859649122806,2,0.03508771929824561,14,0.24561403508771928,1.9649491688783518,1.5555555555555556,2.0000000000000004,1.3333333333333333,1,5,1,5,0,4,57,1,2,2,0.03508771929824561,55,4.0701754385964914,3.8727272727272726,0,0,0,515624,13.153135036071083,515566,4640394,364321,57,57,1,1
SE0013,sudoku_exchange,easy:71803,easy,2026,28,53,3.169811320754717,1.4239943040227834,1,6,4,0.07547169811320754,11,0.20754716981132076,19,0.3584905660377358,1.5451670375392659,1.654320987654321,0.3209876543209877,2.5432098765432105,1,4,2,4,1,6,53,4,53,7,1.0,0,3.169811320754717,0.0,0,0,1,921,6.826545223556594,867,8078,570,53,53,1,1
