puzzle_id,source,source_difficulty,clue_count,solver,solver_version,solved,solution_valid,recursive_calls,candidate_checks,constraint_rejections,committed_assignments,backtracked_assignments,backtrack_events,search_nodes,max_depth,solution_depth
SE0001,sudoku_exchange,easy,28,BT_NAIVE,1.0,1,1,643,5549,4907,642,589,415,643,53,53
SE0002,sudoku_exchange,easy,31,BT_NAIVE,1.0,1,1,8958,80423,71466,8957,8907,6300,8958,50,50
SE0003,sudoku_exchange,easy,29,BT_NAIVE,1.0,1,1,9145,82102,72958,9144,9092,6186,9145,52,52
SE0004,sudoku_exchange,easy,32,BT_NAIVE,1.0,1,1,528,4562,4035,527,478,335,528,49,49
SE0005,sudoku_exchange,easy,26,BT_NAIVE,1.0,1,1,6309,56547,50239,6308,6253,4427,6309,55,55
SE0006,sudoku_exchange,easy,31,BT_NAIVE,1.0,1,1,205,1638,1434,204,154,99,205,50,50
SE0007,sudoku_exchange,easy,27,BT_NAIVE,1.0,1,1,2151,19138,16988,2150,2096,1340,2151,54,54
SE0008,sudoku_exchange,easy,32,BT_NAIVE,1.0,1,1,7379,66207,58829,7378,7329,5086,7379,49,49
SE0009,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,4707,42166,37460,4706,4655,3193,4707,51,51
SE0010,sudoku_exchange,easy,28,BT_NAIVE,1.0,1,1,752,6557,5806,751,698,458,752,53,53
SE0011,sudoku_exchange,easy,24,BT_NAIVE,1.0,1,1,10143,91046,80904,10142,10085,7404,10143,57,57
SE0012,sudoku_exchange,easy,24,BT_NAIVE,1.0,1,1,515624,4640394,4124771,515623,515566,364321,515624,57,57
SE0013,sudoku_exchange,easy,28,BT_NAIVE,1.0,1,1,921,8078,7158,920,867,570,921,53,53
SE0014,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,200,1563,1364,199,148,109,200,51,51
SE0015,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,993,8741,7749,992,941,642,993,51,51
SE0016,sudoku_exchange,easy,37,BT_NAIVE,1.0,1,1,333,2828,2496,332,288,210,333,44,44
SE0017,sudoku_exchange,easy,40,BT_NAIVE,1.0,1,1,48,256,209,47,6,3,48,41,41
SE0018,sudoku_exchange,easy,27,BT_NAIVE,1.0,1,1,2984,26650,23667,2983,2929,2140,2984,54,54
SE0019,sudoku_exchange,easy,32,BT_NAIVE,1.0,1,1,579,5012,4434,578,529,358,579,49,49
SE0020,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,105,738,634,104,53,34,105,51,51
SE0021,sudoku_exchange,easy,28,BT_NAIVE,1.0,1,1,5475,49045,43571,5474,5421,3917,5475,53,53
SE0022,sudoku_exchange,easy,34,BT_NAIVE,1.0,1,1,335,2820,2486,334,287,187,335,47,47
SE0023,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,1136,10018,8883,1135,1084,712,1136,51,51
SE0024,sudoku_exchange,easy,36,BT_NAIVE,1.0,1,1,98,664,567,97,52,31,98,45,45
SE0025,sudoku_exchange,easy,30,BT_NAIVE,1.0,1,1,9329,83740,74412,9328,9277,6534,9329,51,51
SE0026,sudoku_exchange,medium,25,BT_NAIVE,1.0,1,1,3297,29430,26134,3296,3240,2073,3297,56,56
SE0027,sudoku_exchange,medium,28,BT_NAIVE,1.0,1,1,41656,374679,333024,41655,41602,28918,41656,53,53
SE0028,sudoku_exchange,medium,26,BT_NAIVE,1.0,1,1,4855,43472,38618,4854,4799,3308,4855,55,55
SE0029,sudoku_exchange,medium,26,BT_NAIVE,1.0,1,1,1724,15290,13567,1723,1668,1151,1724,55,55
SE0030,sudoku_exchange,medium,26,BT_NAIVE,1.0,1,1,1439,12727,11289,1438,1383,929,1439,55,55
SE0031,sudoku_exchange,medium,32,BT_NAIVE,1.0,1,1,60,329,270,59,10,5,60,49,49
SE0032,sudoku_exchange,medium,28,BT_NAIVE,1.0,1,1,13741,123439,109699,13740,13687,9490,13741,53,53
SE0033,sudoku_exchange,medium,24,BT_NAIVE,1.0,1,1,12324,110680,98357,12323,12266,8406,12324,57,57
SE0034,sudoku_exchange,medium,27,BT_NAIVE,1.0,1,1,60603,545198,484596,60602,60548,45703,60603,54,54
SE0035,sudoku_exchange,medium,27,BT_NAIVE,1.0,1,1,15403,138411,123009,15402,15348,11456,15403,54,54
SE0036,sudoku_exchange,medium,28,BT_NAIVE,1.0,1,1,7717,69240,61524,7716,7663,5119,7717,53,53
SE0037,sudoku_exchange,medium,26,BT_NAIVE,1.0,1,1,20612,185290,164679,20611,20556,13636,20612,55,55
SE0038,sudoku_exchange,medium,29,BT_NAIVE,1.0,1,1,10345,92902,82558,10344,10292,6959,10345,52,52
SE0039,sudoku_exchange,medium,27,BT_NAIVE,1.0,1,1,2656,23697,21042,2655,2601,1746,2656,54,54
SE0040,sudoku_exchange,medium,28,BT_NAIVE,1.0,1,1,7517,67431,59915,7516,7463,5200,7517,53,53
